PAV_adj_gene,PAV_adj_train_pop,PAV_adj_n_PAVs_found
SL012707_ENSG00000169174.10,AFA,8
SL013928_ENSG00000084072.16,AFA,0
SL016549_ENSG00000162409.11,AFA,0
SL016549_ENSG00000131791.8,AFA,0
SL010488_ENSG00000143322.21,AFA,1
SL014470_ENSG00000137936.18,AFA,6
SL014469_ENSG00000160691.18,AFA,1
SL000052_ENSG00000118194.20,AFA,1
SL004477_ENSG00000163220.11,AFA,1
SL004145_ENSG00000157873.17,AFA,4
SL003184_ENSG00000116678.19,AFA,3
SL001774_ENSG00000121769.8,AFA,0
SL002505_ENSG00000175206.10,AFA,2
SL002086_ENSG00000142748.12,AFA,0
SL016928_ENSG00000026751.17,AFA,1
SL004859_ENSG00000186891.14,AFA,1
SL000305_ENSG00000134259.3,AFA,1
SL004783_ENSG00000163221.9,AFA,0
SL004829_ENSG00000143556.9,AFA,0
SL002785_ENSG00000120937.9,AFA,1
SL006114_ENSG00000185483.12,AFA,1
SL008094_ENSG00000079739.17,AFA,4
SL000001_ENSG00000185499.16,AFA,1
SL004811_ENSG00000158710.14,AFA,0
SL004396_ENSG00000115415.18,AFA,0
SL006131_ENSG00000163586.10,AFA,1
SL005357_ENSG00000115386.6,AFA,0
SL007272_ENSG00000159399.9,AFA,2
SL000145_ENSG00000115590.14,AFA,1
SL005179_ENSG00000136696.11,AFA,1
SL005177_ENSG00000136694.9,AFA,2
SL004357_ENSG00000138379.5,AFA,5
SL000133_ENSG00000115009.13,AFA,0
SL000300_ENSG00000115138.11,AFA,1
SL003803_ENSG00000178568.15,AFA,0
SL000450_ENSG00000144381.17,AFA,0
SL004676_ENSG00000115461.5,AFA,0
SL005178_ENSG00000125571.9,AFA,7
SL021043_ENSG00000138379.5,AFA,0
SL000020_ENSG00000084674.14,AFA,18
SL004650_ENSG00000162998.5,AFA,1
SL000605_ENSG00000143947.13,AFA,0
SL004725_ENSG00000128708.13,AFA,1
SL000048_ENSG00000115718.17,AFA,0
SL004872_ENSG00000135960.10,AFA,4
SL005170_ENSG00000163600.12,AFA,1
SL001997_ENSG00000115594.12,AFA,0
SL004861_ENSG00000115607.9,AFA,1
SL004875_ENSG00000115598.10,AFA,3
SL000384_ENSG00000163599.17,AFA,1
SL001795_ENSG00000125538.12,AFA,0
SL000678_ENSG00000115523.16,AFA,3
SL006992_ENSG00000132031.13,AFA,3
SL004457_ENSG00000135919.13,AFA,0
SL010451_ENSG00000136698.8,AFA,0
SL004860_ENSG00000115317.11,AFA,0
SL001998_ENSG00000003436.16,AFA,1
SL010610_ENSG00000116031.9,AFA,5
SL010349_ENSG00000115414.19,AFA,5
SL010348_ENSG00000115414.19,AFA,5
SL004152_ENSG00000115604.10,AFA,1
SL010517_ENSG00000115661.14,AFA,0
SL007056_ENSG00000163217.2,AFA,1
SL004720_ENSG00000221823.11,AFA,0
SL003974_ENSG00000115718.17,AFA,0
SL008102_ENSG00000014641.19,AFA,0
SL008063_ENSG00000143727.16,AFA,3
SL011528_ENSG00000171863.15,AFA,0
SL000588_ENSG00000115705.21,AFA,9
SL005629_ENSG00000124357.13,AFA,0
SL000426_ENSG00000115414.19,AFA,5
SL017611_ENSG00000134308.14,AFA,0
SL004146_ENSG00000115602.17,AFA,8
SL006713_ENSG00000118004.17,AFA,2
SL014096_ENSG00000162951.11,AFA,2
SL004070_ENSG00000143947.13,AFA,0
SL010519_ENSG00000115085.13,AFA,0
SL013969_ENSG00000115919.15,AFA,1
SL000125_ENSG00000115008.5,AFA,2
SL004133_ENSG00000204217.15,AFA,0
SL003461_ENSG00000115138.11,AFA,1
SL000433_ENSG00000115263.15,AFA,0
SL003657_ENSG00000221823.11,AFA,0
SL003182_ENSG00000138448.12,AFA,0
SL008099_ENSG00000042493.16,AFA,3
SL006528_ENSG00000078098.14,AFA,2
SL004782_ENSG00000123610.5,AFA,1
SL009054_ENSG00000179915.23,AFA,0
SL015728_ENSG00000084734.9,AFA,0
SL006921_ENSG00000152256.13,AFA,2
SL016566_ENSG00000081320.11,AFA,0
SL016555_ENSG00000284741.1,AFA,0
SL011400_ENSG00000115252.18,AFA,0
SL003717_ENSG00000003400.14,AFA,1
SL001990_ENSG00000136689.18,AFA,0
SL014129_ENSG00000136720.7,AFA,0
SL008466_ENSG00000162882.15,AFA,1
SL005685_ENSG00000114942.14,AFA,0
SL008071_ENSG00000134308.14,AFA,0
SL013872_ENSG00000168702.17,AFA,6
SL004837_ENSG00000163083.6,AFA,0
SL000466_ENSG00000115457.10,AFA,0
SL017528_ENSG00000171865.10,AFA,0
SL006527_ENSG00000115380.20,AFA,0
SL009210_ENSG00000115138.11,AFA,1
SL001716_ENSG00000168811.7,AFA,0
SL012769_ENSG00000198643.7,AFA,1
SL007223_ENSG00000113916.18,AFA,1
SL009349_ENSG00000163430.12,AFA,0
SL020171_ENSG00000114455.13,AFA,6
SL003738_ENSG00000121594.12,AFA,1
SL004588_ENSG00000196083.10,AFA,2
SL004637_ENSG00000164078.13,AFA,5
SL000049_ENSG00000184500.15,AFA,2
SL004752_ENSG00000168309.18,AFA,3
SL000496_ENSG00000012223.13,AFA,3
SL000554_ENSG00000163932.15,AFA,0
SL005196_ENSG00000185565.12,AFA,0
SL010390_ENSG00000091986.15,AFA,2
SL010454_ENSG00000144619.15,AFA,2
SL005574_ENSG00000243989.9,AFA,2
SL006777_ENSG00000090512.12,AFA,4
SL010613_ENSG00000144730.18,AFA,3
SL007228_ENSG00000163558.13,AFA,0
SL010512_ENSG00000121879.5,AFA,0
SL010498_ENSG00000044524.11,AFA,4
SL017188_ENSG00000082701.15,AFA,0
SL004258_ENSG00000181092.10,AFA,1
SL000251_ENSG00000145192.13,AFA,1
SL010489_ENSG00000134072.11,AFA,0
SL008936_ENSG00000134121.10,AFA,4
SL011049_ENSG00000127241.16,AFA,3
SL004765_ENSG00000114738.11,AFA,0
SL009629_ENSG00000129071.9,AFA,3
SL005372_ENSG00000114520.11,AFA,0
SL000601_ENSG00000091513.16,AFA,3
SL003655_ENSG00000163931.16,AFA,0
SL013490_ENSG00000144857.14,AFA,3
SL005161_ENSG00000114279.13,AFA,0
SL005202_ENSG00000173531.15,AFA,0
SL013988_ENSG00000175040.6,AFA,1
SL014093_ENSG00000168032.10,AFA,1
SL005188_ENSG00000091181.19,AFA,1
SL017189_ENSG00000113889.14,AFA,4
SL006197_ENSG00000205981.8,AFA,0
SL005361_ENSG00000189058.9,AFA,1
SL008072_ENSG00000144810.16,AFA,0
SL004739_ENSG00000055955.17,AFA,2
SL009951_ENSG00000154764.6,AFA,0
SL003182_ENSG00000082781.12,AFA,0
SL004605_ENSG00000168028.14,AFA,0
SL006448_ENSG00000113905.4,AFA,12
SL006091_ENSG00000158092.7,AFA,0
SL005174_ENSG00000056736.10,AFA,6
SL014288_ENSG00000163606.11,AFA,3
SL014268_ENSG00000091972.18,AFA,1
SL007680_ENSG00000185008.17,AFA,1
SL002078_ENSG00000163513.18,AFA,0
SL010928_ENSG00000178035.12,AFA,0
SL004131_ENSG00000114013.16,AFA,3
SL003166_ENSG00000170017.12,AFA,2
SL011068_ENSG00000163702.20,AFA,3
SL005155_ENSG00000241186.10,AFA,2
SL000598_ENSG00000090534.20,AFA,1
SL011510_ENSG00000157005.4,AFA,0
SL004838_ENSG00000196776.16,AFA,0
SL012774_ENSG00000163703.17,AFA,1
SL004269_ENSG00000157017.16,AFA,1
SL001728_ENSG00000134853.12,AFA,2
SL002722_ENSG00000004468.13,AFA,0
SL000137_ENSG00000174808.12,AFA,2
SL002688_ENSG00000118785.14,AFA,3
SL020172_ENSG00000171509.16,AFA,1
SL003848_ENSG00000164111.15,AFA,0
SL002662_ENSG00000088926.13,AFA,2
SL004010_ENSG00000157404.15,AFA,3
SL003328_ENSG00000205403.13,AFA,2
SL003041_ENSG00000163737.4,AFA,0
SL003334_ENSG00000164022.17,AFA,2
SL003191_ENSG00000163736.4,AFA,0
SL000424_ENSG00000171560.16,AFA,0
SL000424_ENSG00000171564.11,AFA,0
SL000424_ENSG00000171557.17,AFA,0
SL000136_ENSG00000109321.11,AFA,1
SL003169_ENSG00000163735.7,AFA,0
SL003173_ENSG00000163739.5,AFA,1
SL017610_ENSG00000163734.4,AFA,0
SL017610_ENSG00000081041.9,AFA,0
SL000004_ENSG00000138685.15,AFA,0
SL003326_ENSG00000169248.13,AFA,0
SL004339_ENSG00000138675.16,AFA,1
SL000478_ENSG00000109471.4,AFA,0
SL004486_ENSG00000150630.4,AFA,0
SL010368_ENSG00000127415.13,AFA,5
SL008611_ENSG00000138744.16,AFA,6
SL005437_ENSG00000152595.16,AFA,8
SL010374_ENSG00000164024.12,AFA,0
SL005087_ENSG00000163453.11,AFA,1
SL010495_ENSG00000145386.10,AFA,0
SL004660_ENSG00000029559.7,AFA,5
SL010493_ENSG00000145349.17,AFA,0
SL000039_ENSG00000169429.11,AFA,0
SL003167_ENSG00000156234.7,AFA,0
SL003172_ENSG00000124875.10,AFA,0
SL003711_ENSG00000164305.19,AFA,0
SL006512_ENSG00000109758.8,AFA,4
SL010530_ENSG00000109180.14,AFA,0
SL005263_ENSG00000163956.13,AFA,3
SL010518_ENSG00000135605.13,AFA,0
SL003201_ENSG00000128052.10,AFA,2
SL000254_ENSG00000163631.17,AFA,0
SL004844_ENSG00000145242.13,AFA,1
SL004063_ENSG00000068078.18,AFA,0
SL011071_ENSG00000145431.11,AFA,0
SL004492_ENSG00000137462.8,AFA,0
SL003183_ENSG00000169245.6,AFA,0
SL000545_ENSG00000164344.16,AFA,7
SL002093_ENSG00000164032.12,AFA,0
SL006698_ENSG00000178177.15,AFA,0
SL005488_ENSG00000152583.12,AFA,2
SL008644_ENSG00000109743.11,AFA,4
SL004708_ENSG00000163736.4,AFA,0
SL014091_ENSG00000184985.16,AFA,6
SL004742_ENSG00000079557.5,AFA,2
SL003657_ENSG00000138814.17,AFA,0
SL000022_ENSG00000171560.16,AFA,0
SL000022_ENSG00000171564.11,AFA,0
SL000022_ENSG00000171557.17,AFA,0
SL000139_ENSG00000124882.4,AFA,1
SL003341_ENSG00000171557.17,AFA,1
SL003930_ENSG00000164120.14,AFA,0
SL002803_ENSG00000154277.13,AFA,1
SL005197_ENSG00000138760.10,AFA,1
SL005230_ENSG00000182168.15,AFA,1
SL007373_ENSG00000171497.5,AFA,3
SL011405_ENSG00000138735.16,AFA,4
SL008703_ENSG00000109472.14,AFA,0
SL011588_ENSG00000145425.10,AFA,0
SL000084_ENSG00000138798.13,AFA,6
SL000011_ENSG00000081051.8,AFA,1
SL014896_ENSG00000145362.19,AFA,8
SL005266_ENSG00000145335.15,AFA,0
SL003672_ENSG00000109610.6,AFA,1
SL003188_ENSG00000138755.6,AFA,0
SL007108_ENSG00000125347.14,AFA,0
SL005184_ENSG00000113302.4,AFA,0
SL001716_ENSG00000113302.4,AFA,0
SL000481_ENSG00000113525.10,AFA,0
SL008522_ENSG00000112902.12,AFA,0
SL003322_ENSG00000037280.16,AFA,8
SL004333_ENSG00000070193.4,AFA,0
SL004144_ENSG00000146013.11,AFA,0
SL004141_ENSG00000184349.13,AFA,0
SL003872_ENSG00000134352.20,AFA,2
SL004153_ENSG00000182578.13,AFA,3
SL004336_ENSG00000156427.8,AFA,0
SL006914_ENSG00000113580.15,AFA,1
SL000323_ENSG00000112936.19,AFA,1
SL003303_ENSG00000151882.11,AFA,1
SL000480_ENSG00000113520.11,AFA,0
SL005168_ENSG00000112964.14,AFA,3
SL004687_ENSG00000145777.15,AFA,0
SL000338_ENSG00000153113.23,AFA,1
SL000532_ENSG00000113140.11,AFA,0
SL000325_ENSG00000113600.11,AFA,3
SL005234_ENSG00000164404.8,AFA,1
SL001718_ENSG00000169194.9,AFA,1
SL008956_ENSG00000113273.17,AFA,4
SL008023_ENSG00000145681.11,AFA,1
SL006544_ENSG00000120708.17,AFA,1
SL010468_ENSG00000174136.13,AFA,1
SL007207_ENSG00000113296.14,AFA,2
SL010491_ENSG00000070808.16,AFA,0
SL010512_ENSG00000145675.15,AFA,0
SL010494_ENSG00000134057.15,AFA,0
SL004298_ENSG00000145649.8,AFA,2
SL004155_ENSG00000113721.14,AFA,2
SL000299_ENSG00000113578.18,AFA,0
SL004350_ENSG00000127743.6,AFA,0
SL003179_ENSG00000213949.10,AFA,0
SL004865_ENSG00000113361.13,AFA,0
SL004864_ENSG00000154162.15,AFA,3
SL010458_ENSG00000164283.13,AFA,0
SL006132_ENSG00000113368.12,AFA,0
SL008808_ENSG00000113558.18,AFA,1
SL000322_ENSG00000039537.13,AFA,7
SL000674_ENSG00000134363.12,AFA,1
SL000138_ENSG00000113070.8,AFA,0
SL005588_ENSG00000151422.13,AFA,0
SL009791_ENSG00000197451.12,AFA,0
SL000321_ENSG00000039537.13,AFA,0
SL014048_ENSG00000050767.17,AFA,4
SL001726_ENSG00000164400.6,AFA,1
SL000479_ENSG00000164399.5,AFA,2
SL007729_ENSG00000164307.13,AFA,10
SL002036_ENSG00000160867.15,AFA,3
SL005189_ENSG00000168685.15,AFA,6
SL005212_ENSG00000113494.17,AFA,2
SL005214_ENSG00000092421.16,AFA,2
SL007547_ENSG00000135077.9,AFA,1
SL016548_ENSG00000132356.11,AFA,0
SL016557_ENSG00000113161.16,AFA,0
SL004716_ENSG00000050748.17,AFA,0
SL011404_ENSG00000113448.19,AFA,0
SL003647_ENSG00000197043.14,AFA,0
SL000130_ENSG00000134057.15,AFA,0
SL013754_ENSG00000145715.15,AFA,0
SL010384_ENSG00000152377.14,AFA,2
SL004248_ENSG00000168621.15,AFA,0
SL000485_ENSG00000145839.2,AFA,1
SL004714_ENSG00000113594.10,AFA,4
SL009431_ENSG00000169567.12,AFA,0
SL005403_ENSG00000169223.15,AFA,1
SL018509_ENSG00000146374.14,AFA,1
SL004747_ENSG00000204444.11,AFA,0
SL008158_ENSG00000275714.1,AFA,0
SL000318_ENSG00000244731.8,AFA,0
SL000318_ENSG00000224389.9,AFA,0
SL000546_ENSG00000172179.12,AFA,0
SL000002_ENSG00000112715.22,AFA,0
SL017612_ENSG00000096384.20,AFA,0
SL005199_ENSG00000204520.13,AFA,0
SL005206_ENSG00000096264.14,AFA,6
SL005229_ENSG00000131019.11,AFA,5
SL004352_ENSG00000112116.9,AFA,3
SL004768_ENSG00000204472.13,AFA,1
SL006923_ENSG00000112592.14,AFA,0
SL000007_ENSG00000091831.23,AFA,0
SL000506_ENSG00000135346.8,AFA,0
SL005256_ENSG00000187837.3,AFA,1
SL005205_ENSG00000204475.10,AFA,1
SL000428_ENSG00000135346.8,AFA,0
SL005227_ENSG00000111981.5,AFA,4
SL005228_ENSG00000131015.5,AFA,0
SL002525_ENSG00000166278.15,AFA,2
SL007284_ENSG00000096006.11,AFA,2
SL008773_ENSG00000156535.15,AFA,9
SL007206_ENSG00000186340.15,AFA,2
SL010522_ENSG00000112237.13,AFA,0
SL000507_ENSG00000226979.8,AFA,0
SL000507_ENSG00000227507.2,AFA,0
SL000508_ENSG00000226979.8,AFA,0
SL000508_ENSG00000227507.2,AFA,0
SL000589_ENSG00000135346.8,AFA,0
SL000615_ENSG00000146469.13,AFA,0
SL007059_ENSG00000112799.9,AFA,2
SL003679_ENSG00000197081.14,AFA,13
SL000268_ENSG00000122194.18,AFA,4
SL006913_ENSG00000010810.17,AFA,0
SL004119_ENSG00000204580.13,AFA,1
SL000451_ENSG00000204389.10,AFA,0
SL003680_ENSG00000204305.14,AFA,1
SL000414_ENSG00000243649.8,AFA,6
SL000540_ENSG00000122194.18,AFA,4
SL000541_ENSG00000122194.18,AFA,4
SL004757_ENSG00000009844.16,AFA,0
SL007022_ENSG00000135316.18,AFA,0
SL000316_ENSG00000244731.8,AFA,0
SL000316_ENSG00000224389.9,AFA,0
SL000597_ENSG00000226979.8,AFA,3
SL012754_ENSG00000172594.13,AFA,3
SL003310_ENSG00000112715.22,AFA,0
SL001766_ENSG00000135346.8,AFA,0
SL000670_ENSG00000174156.15,AFA,2
SL006993_ENSG00000156711.17,AFA,0
SL006920_ENSG00000112062.10,AFA,1
SL001815_ENSG00000285441.1,AFA,0
SL004915_ENSG00000213719.8,AFA,0
SL003440_ENSG00000146070.17,AFA,3
SL014229_ENSG00000112149.10,AFA,3
SL005181_ENSG00000016402.13,AFA,2
SL005183_ENSG00000164485.15,AFA,2
SL005200_ENSG00000204516.10,AFA,6
SL016550_ENSG00000204435.13,AFA,0
SL016551_ENSG00000204435.13,AFA,0
SL016567_ENSG00000135341.18,AFA,0
SL006970_ENSG00000198719.9,AFA,2
SL002702_ENSG00000137193.14,AFA,1
SL004871_ENSG00000146072.6,AFA,1
SL000454_ENSG00000096384.20,AFA,0
SL000458_ENSG00000027697.14,AFA,1
SL003542_ENSG00000204371.11,AFA,1
SL008008_ENSG00000118520.15,AFA,0
SL002517_ENSG00000232810.4,AFA,0
SL003993_ENSG00000153162.9,AFA,1
SL001713_ENSG00000112115.7,AFA,0
SL000448_ENSG00000106211.9,AFA,0
SL000045_ENSG00000146674.15,AFA,2
SL002644_ENSG00000146648.18,AFA,3
SL000441_ENSG00000019991.18,AFA,1
SL000497_ENSG00000091136.14,AFA,0
SL000528_ENSG00000127948.16,AFA,1
SL005220_ENSG00000164690.8,AFA,0
SL001938_ENSG00000122641.11,AFA,0
SL000462_ENSG00000146678.10,AFA,2
SL000134_ENSG00000105976.15,AFA,2
SL004009_ENSG00000136238.18,AFA,0
SL000006_ENSG00000106366.8,AFA,4
SL000396_ENSG00000172115.8,AFA,0
SL000398_ENSG00000160868.15,AFA,1
SL000668_ENSG00000135218.19,AFA,3
SL002704_ENSG00000105894.12,AFA,0
SL000603_ENSG00000204983.14,AFA,0
SL005152_ENSG00000106538.10,AFA,0
SL010379_ENSG00000075213.11,AFA,1
SL010463_ENSG00000213420.8,AFA,0
SL010492_ENSG00000058404.20,AFA,1
SL010496_ENSG00000164885.13,AFA,0
SL007250_ENSG00000105851.11,AFA,5
SL004137_ENSG00000146904.9,AFA,2
SL009216_ENSG00000132437.18,AFA,5
SL004845_ENSG00000196411.10,AFA,1
SL007531_ENSG00000164619.10,AFA,1
SL004304_ENSG00000106089.12,AFA,0
SL004823_ENSG00000196262.14,AFA,0
SL011529_ENSG00000126524.10,AFA,0
SL003104_ENSG00000106178.6,AFA,3
SL017611_ENSG00000170027.7,AFA,0
SL011768_ENSG00000015676.18,AFA,3
SL005493_ENSG00000005421.9,AFA,2
SL008865_ENSG00000106588.11,AFA,0
SL000535_ENSG00000197461.13,AFA,0
SL012457_ENSG00000122584.13,AFA,0
SL000087_ENSG00000136244.12,AFA,2
SL008085_ENSG00000106049.9,AFA,0
SL003710_ENSG00000106144.20,AFA,0
SL004925_ENSG00000106541.12,AFA,0
SL011628_ENSG00000136279.20,AFA,1
SL003685_ENSG00000105835.12,AFA,0
SL010388_ENSG00000275896.5,AFA,1
SL008414_ENSG00000106123.12,AFA,0
SL007429_ENSG00000136235.16,AFA,5
SL005210_ENSG00000091129.20,AFA,2
SL014735_ENSG00000106348.18,AFA,0
SL016828_ENSG00000146648.18,AFA,3
SL004891_ENSG00000122566.21,AFA,0
SL010470_ENSG00000170381.14,AFA,1
SL000408_ENSG00000130427.3,AFA,1
SL004924_ENSG00000106682.14,AFA,0
SL004837_ENSG00000122641.11,AFA,0
SL000498_ENSG00000174697.5,AFA,2
SL003170_ENSG00000006606.8,AFA,1
SL002565_ENSG00000136997.19,AFA,1
SL004159_ENSG00000173530.6,AFA,4
SL000053_ENSG00000104368.18,AFA,1
SL004143_ENSG00000168546.11,AFA,0
SL002539_ENSG00000164761.9,AFA,0
SL001996_ENSG00000091879.13,AFA,1
SL004338_ENSG00000078579.9,AFA,1
SL001995_ENSG00000154188.10,AFA,0
SL004724_ENSG00000083168.11,AFA,1
SL000343_ENSG00000164733.21,AFA,4
SL003770_ENSG00000104332.12,AFA,0
SL010465_ENSG00000132561.14,AFA,8
SL003994_ENSG00000168487.19,AFA,2
SL010612_ENSG00000104371.5,AFA,0
SL010500_ENSG00000254087.8,AFA,0
SL004869_ENSG00000185015.8,AFA,0
SL006917_ENSG00000254087.8,AFA,0
SL004335_ENSG00000158815.11,AFA,0
SL018625_ENSG00000154589.7,AFA,0
SL004580_ENSG00000038945.15,AFA,1
SL000617_ENSG00000167701.14,AFA,1
SL004642_ENSG00000168615.12,AFA,1
SL004867_ENSG00000164879.7,AFA,2
SL000483_ENSG00000104432.14,AFA,0
SL000587_ENSG00000042832.12,AFA,27
SL017611_ENSG00000164924.18,AFA,0
SL001896_ENSG00000120885.22,AFA,3
SL013989_ENSG00000147655.12,AFA,0
SL004156_ENSG00000104689.10,AFA,5
SL005789_ENSG00000159167.12,AFA,0
SL004866_ENSG00000133742.13,AFA,3
SL000339_ENSG00000104267.10,AFA,1
SL005352_ENSG00000164687.11,AFA,0
SL012248_ENSG00000169398.19,AFA,0
SL005231_ENSG00000156687.11,AFA,1
SL011406_ENSG00000205268.10,AFA,2
SL003331_ENSG00000156103.16,AFA,0
SL003060_ENSG00000077782.20,AFA,0
SL004157_ENSG00000120889.13,AFA,5
SL005688_ENSG00000164924.18,AFA,0
SL004297_ENSG00000157168.20,AFA,10
SL004489_ENSG00000136869.16,AFA,4
SL001880_ENSG00000171855.7,AFA,2
SL017106_ENSG00000186803.3,AFA,4
SL019978_ENSG00000214042.1,AFA,4
SL003168_ENSG00000213927.4,AFA,1
SL000319_ENSG00000106804.7,AFA,6
SL000324_ENSG00000176919.13,AFA,0
SL003193_ENSG00000137077.8,AFA,0
SL005153_ENSG00000122756.15,AFA,0
SL000695_ENSG00000148346.12,AFA,1
SL000320_ENSG00000106804.7,AFA,6
SL004686_ENSG00000181634.8,AFA,1
SL004862_ENSG00000197646.8,AFA,1
SL006610_ENSG00000160323.18,AFA,8
SL006542_ENSG00000160339.16,AFA,3
SL006892_ENSG00000097007.19,AFA,2
SL006910_ENSG00000136943.11,AFA,0
SL004635_ENSG00000106952.7,AFA,0
SL006480_ENSG00000010438.16,AFA,0
SL002075_ENSG00000188379.7,AFA,3
SL008916_ENSG00000176978.14,AFA,1
SL010462_ENSG00000085265.11,AFA,2
SL018625_ENSG00000136869.16,AFA,0
SL003200_ENSG00000120156.21,AFA,5
SL005508_ENSG00000107159.13,AFA,2
SL002755_ENSG00000182752.10,AFA,2
SL003198_ENSG00000041982.16,AFA,13
SL011769_ENSG00000136938.9,AFA,0
SL004908_ENSG00000198467.15,AFA,0
SL000321_ENSG00000106804.7,AFA,0
SL005572_ENSG00000148180.19,AFA,5
